time,P_mb,ws,wd,Tair,RH,Pvapor_AVG,RS
2022/4/21 17:00,398.35,3.293333333,235.1333333,1.5895,48.07666667,0.329166667,622.4833333
2022/4/21 18:00,471.4,2.113,125.35,0.574166667,52.88,0.324833333,378.7333333
2022/4/21 19:00,579.5333333,0.579666667,165.9583333,0.891333333,45.17166667,0.283166667,74.385
2022/4/21 20:00,583.4666667,1.099833333,253.7833333,-0.940833333,53.56333333,0.2775,0.7175
2022/4/21 21:00,584.05,0.470333333,237.415,-1.880333333,58.71166667,0.278666667,0
2022/4/21 22:00,584.7833333,0.560333333,225.9,-2.950166667,62.32666667,0.268166667,0
2022/4/21 23:00,584.7833333,2.784166667,235.2833333,-3.362833333,64.29666667,0.2665,0
2022/4/22 00:00,584.5166667,2.461,128.3666667,-4.168166667,66.575,0.256,0
2022/4/22 01:00,584.3833333,0.8915,162.6333333,-4.952833333,68.24833333,0.243333333,0.002833333
2022/4/22 02:00,584.2333333,2.776,208.2,-5.806666667,71.22166667,0.234333333,0
2022/4/22 03:00,584.2,3.3025,221.6666667,-7.113833333,74.605,0.216,0
2022/4/22 04:00,584.1666667,4.510666667,217.8666667,-7.4305,75.35666667,0.2115,0.008333333
2022/4/22 05:00,584.0166667,3.1805,175.7,-7.003166667,75.635,0.221333333,0
2022/4/22 06:00,584.4166667,1.426,211.9916667,-7.267166667,79.26666667,0.226166667,0.206166667
2022/4/22 07:00,584.8,2.5695,205.5666667,-7.186833333,77.48666667,0.222833333,41.43183333
2022/4/22 08:00,584.9,2.481333333,228.65,-6.195333333,70.255,0.222333333,256.9
2022/4/22 09:00,562.8833333,1.3135,265.1666667,-3.6275,65.98833333,0.267833333,498.9833333
2022/4/22 10:00,510.8666667,2.388333333,304.4833333,-1.884,67.69,0.3215,719.3833333
2022/4/22 11:00,456.1166667,4.753666667,291.1333333,-1.167833333,68.79833333,0.3495,897.1666667
2022/4/22 12:00,404.9833333,5.374833333,291.45,-0.073166667,67.91666667,0.394,1019
2022/4/22 13:00,376.4,4.786166667,286.1333333,1.232833333,61.93166667,0.413666667,1073.166667
2022/4/22 14:00,374.7333333,4.754833333,286.2,2.066333333,58.89333333,0.417333333,1006.833333
2022/4/22 15:00,374.65,4.458833333,275.8833333,2.587666667,59.91833333,0.440666667,906.7333333
2022/4/22 16:00,371.0333333,3.609333333,276.0833333,3.377333333,56.455,0.439,824.9666667
2022/4/22 17:00,427.8666667,1.659333333,195.9,4.031666667,53.51833333,0.4355,553.75
2022/4/22 18:00,531.7,2.105,109.5,2.154333333,62.25333333,0.441166667,302.5333333
2022/4/22 19:00,579.7666667,2.103333333,115.25,0.991166667,64.305,0.421833333,100.885
2022/4/22 20:00,584.4166667,2.806,109.7333333,0.011666667,65.765,0.381,0.850833333
2022/4/22 21:00,584.8333333,2.109666667,156.4166667,-0.5925,65.96666667,0.357666667,0.008333333
2022/4/22 22:00,585.1,2.535666667,124.6,-1.444166667,68.045,0.3365,0.002833333
2022/4/22 23:00,585.25,3.466,119.8833333,-1.6925,69.20666667,0.3345,0.0055
2022/4/23 00:00,585.0833333,4.681,101.2833333,-2.828666667,76.63666667,0.333666667,0.008333333
2022/4/23 01:00,584.9333333,4.345,78.98,-2.7705,80.51,0.3525,0
